"f","r","K","q"
-10.3040294778035,0.334752119698655,36840.2056289567,0.0000176925724064329
-10.6116038635117,0.342932693147045,36161.3672807476,0.0000181283033666379
-10.9832527752066,0.35862295724268,35012.123215167,0.0000189493522363314
-10.9832540373426,0.358622966468633,35012.123215167,0.0000189493522363314
-10.9832537087521,0.35862295724268,35012.1237663062,0.0000189493522363314
-10.9832528880507,0.35862295724268,35012.123215167,0.0000189493543869984
-12.4990201417275,0.424792535831998,31122.9911678094,0.0000215799720034766
-12.4990203421875,0.424792528257144,31122.9911678094,0.0000215799720034766
-12.499020439495,0.424792535831998,31122.9908091154,0.0000215799720034766
-12.4990199579696,0.424792535831998,31122.9911678094,0.0000215799694571539
19.5064850929292,0.827686033824017,19508.4250151979,0.0000369028736021587
-12.9119109663348,0.454063992542817,29699.6429942581,0.0000227692614659625
-12.9119089116721,0.454063998504728,29699.6429942581,0.0000227692614659625
-12.9119089028239,0.454063992542817,29699.643256612,0.0000227692614659625
-12.9119116456701,0.454063992542817,29699.6429942581,0.0000227692587395856
-13.3281880865571,0.484769485788927,28327.034716567,0.0000240487366994793
-12.8762051062685,0.548255158210192,25915.0206905511,0.0000266530822291604
-13.3281855136998,0.48476949093867,28327.034716567,0.0000240487366994793
-13.3281855293839,0.484769485788927,28327.0349238766,0.0000240487366994793
-13.3281872787413,0.484769485788927,28327.034716567,0.000024048739468694
-13.9668283567029,0.516246979332155,27030.4343046978,0.0000254831840744724
-14.4512021781157,0.606091260758368,24016.7647442457,0.0000295254705113617
-14.4511949287639,0.606091266900703,24016.7647442457,0.0000295254705113617
-14.4511951401196,0.606091260758368,24016.76491596,0.0000295254705113617
-14.4512000744076,0.606091260758368,24016.7647442457,0.000029525474076778
271801161.586994,0.703763558168782,21401.4606072337,0.000034602390406941
-8.90938015308991,0.614398186494061,23701.7988532142,0.0000299944500962404
-9.58164043199272,0.606547568792138,23930.5032519818,0.0000295921843321241
-14.7932980031061,0.605800577820401,24000.9154335619,0.0000295251255675017
-14.7933007912794,0.60580058311377,24000.9154335619,0.0000295251255675017
-14.7933007405456,0.605800577820401,24000.9155854057,0.0000295251255675017
-14.7932987617088,0.605800577820401,24000.9154335619,0.0000295251291483779
-14.847932202873,0.60619100184177,23996.8298982554,0.0000295390399585436
-14.8479324330887,0.606190999295645,23996.8298982554,0.0000295390399585436
-14.8479324486151,0.60619100184177,23996.8298246696,0.0000295390399585436
-14.8479323583646,0.60619100184177,23996.8298982554,0.0000295390366601329
-14.8516900008307,0.606492130587124,23986.86147923,0.0000295537176866037
-14.8516899915723,0.606492132922485,23986.86147923,0.0000295537176866037
-14.8516899774592,0.606492130587124,23986.8615465763,0.0000295537176866037
-14.8516899664414,0.606492130587124,23986.86147923,0.000029553721016181
-14.8535146729997,0.606805508605439,23977.5264475088,0.000029568429935916
-14.8588998584972,0.607749882110483,23949.7871824366,0.0000296126803555961
-14.8797792440339,0.611542086056349,23839.1509611634,0.0000297903447708586
-14.9520308816264,0.626948380909279,23401.64910697,0.0000305117124004039
-14.9272250278168,0.67464378686773,22158.3186887088,0.0000327407712352271
-14.9520307492205,0.626948383397585,23401.64910697,0.0000305117124004039
-14.9520307310245,0.626948380909279,23401.6491747951,0.0000305117124004039
-14.9520305476693,0.626948380909279,23401.64910697,0.0000305117158687828
-15.0236053170232,0.648925659553801,22809.3905535432,0.0000314325022436302
-14.9942972020809,0.671944924538979,22225.435242966,0.000032392378188717
-15.0236046561054,0.648925662093003,22809.3905535432,0.0000314325022436302
-15.0236046527941,0.648925659553801,22809.3906186448,0.0000314325022436302
-15.0236049433904,0.648925659553801,22809.3905535432,0.0000314325055081167
-15.0734628079883,0.671214050704847,22239.6629339106,0.0000324153093086338
-15.0734622085066,0.67121405295078,22239.6629339106,0.0000324153093086338
-15.0734622065871,0.671214050704847,22239.6629886201,0.0000324153093086338
-15.0734624446959,0.671214050704847,22239.6629339106,0.0000324153127095395
-15.0916743388992,0.685873090998149,21879.5456866843,0.0000330517661302207
-15.0916749827379,0.685873093584635,21879.5456866843,0.0000330517661302207
-15.0916749748374,0.685873090998149,21879.5457475823,0.0000330517661302207
-15.0916744838205,0.685873090998149,21879.5456866843,0.0000330517697775328
-15.0969102824782,0.701164401001443,21522.10128551,0.0000336793632489337
-15.0969106443305,0.701164399235338,21522.10128551,0.0000336793632489337
-15.096910640584,0.701164401001443,21522.1012453375,0.0000336793632489337
-15.0969103812286,0.701164401001443,21522.10128551,0.0000336793596971126
-15.100453890116,0.692533195825598,21722.352668281,0.0000333234518338961
-15.1004539531555,0.692533197282883,21722.352668281,0.0000333234518338961
-15.1004539526513,0.692533195825598,21722.3527022596,0.0000333234518338961
-15.1004539189884,0.692533195825598,21722.352668281,0.0000333234552934871
-15.1010971572838,0.695374230148225,21655.7822045606,0.0000334480814788726
-15.1010971515697,0.695374228731723,21655.7822045606,0.0000334480814788726
-15.1010971518142,0.695374230148225,21655.7821717513,0.0000334480814788726
-15.1010971605564,0.695374230148225,21655.7822045606,0.0000334480780349078
-15.1011690187309,0.696938788628637,21619.2797410436,0.0000335144450913746
-15.1011690130143,0.696938789461134,21619.2797410436,0.0000335144450913746
-15.1011690244436,0.696938787796139,21619.2797410436,0.0000335144450913746
-15.1011690127725,0.696938788628637,21619.2797611076,0.0000335144450913746
-15.101169024685,0.696938788628637,21619.2797209796,0.0000335144450913746
-15.101169014255,0.696938788628637,21619.2797410436,0.0000335144486193568
-15.1011690231913,0.696938788628637,21619.2797410436,0.0000335144415633927
-15.1011730005049,0.696958834348968,21618.7891124789,0.0000335157800771852
-15.1011729981578,0.696958835678027,21618.7891124789,0.0000335157800771852
-15.1011729981503,0.696958834348968,21618.7891431503,0.0000335157800771852
-15.1011729991984,0.696958834348968,21618.7891124789,0.0000335157827216552
-15.1011730018027,0.696958834348968,21618.7891124789,0.0000335157774327153
-15.1011733274452,0.696983530763481,21618.2069250244,0.0000335168120939601
